condition,mask_strategy,observation_fraction,family,seed,rmse,correlation,correlation_retention,spectral_information_loss,parameter_estimation_error
blind,window,0.75,gaussian,7,0.23318367420496627,0.89332566845259,0.7980307499162668,0.10588117984717971,0.35000000000000003
interpolation_baseline,window,0.75,gaussian,7,0.7198271914310286,0.9532344914544094,0.9086559956983465,0.07301626342677126,0.0
naive_baseline,window,0.75,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,window,0.5,gaussian,7,0.5502319542972373,0.07095923452208358,0.005035212963960058,0.1289938081925448,0.0
blind,window,0.5,gaussian,7,0.4965904542971609,-0.020879935954741094,0.0004359717254740899,0.18835104048795004,0.03666666666666667
interpolation_baseline,window,0.5,gaussian,7,1.107930496869246,0.3399177678546268,0.11554408890327196,0.06602697988864847,0.0
naive_baseline,window,0.5,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,window,0.25,gaussian,7,0.5290253164189115,0.056250392186304454,0.003164106621113061,0.13300892058765434,0.0
blind,window,0.25,gaussian,7,0.4830316977385429,-0.04594605263168584,0.002111039752433645,0.18619653045393525,0.03666666666666667
interpolation_baseline,window,0.25,gaussian,7,1.0687836178993249,0.499487924667614,0.24948818688876004,0.07633690230275558,0.0
naive_baseline,window,0.25,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,window,0.1,gaussian,7,0.6840861101193388,-0.2748228519303641,0.07552759994313883,0.13035195172807723,0.0
blind,window,0.1,gaussian,7,0.5683585094590048,-0.23849064997190317,0.05687779012402084,0.17092910489774749,0.03666666666666667
interpolation_baseline,window,0.1,gaussian,7,1.362115077173579,0.018973199302306076,0.00035998229176502773,0.08717848946934859,0.0
naive_baseline,window,0.1,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,random,1.0,gaussian,7,0.002181436932015955,0.9999869760734269,0.9999739523164765,0.003907453493689816,0.0
blind,random,1.0,gaussian,7,0.00588084058998141,0.9999902234643018,0.9999804470241842,0.011719159550097169,0.35000000000000003
interpolation_baseline,random,1.0,gaussian,7,0.6203149554263263,0.9981749815225578,0.9963532937375585,0.03036259782370676,0.0
naive_baseline,random,1.0,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,random,0.75,gaussian,7,0.007740656412566901,0.9998314060133601,0.9996628404506525,0.09332994588858401,0.0
blind,random,0.75,gaussian,7,0.008947185190141413,0.9998470480228205,0.9996941194399483,0.09210872307606544,0.35000000000000003
interpolation_baseline,random,0.75,gaussian,7,0.6194572422624883,0.9981537614827495,0.9963109315621616,0.051058477191611606,0.0
naive_baseline,random,0.75,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,random,0.5,gaussian,7,0.04600664768130781,0.9944382121360934,0.9889073577564299,0.1049203405329795,0.0
blind,random,0.5,gaussian,7,0.045161290535323174,0.9945620712759488,0.9891537136207054,0.10436801173961407,0.35000000000000003
interpolation_baseline,random,0.5,gaussian,7,0.6096555335653867,0.9949298360879694,0.9898853787380336,0.06590288038521486,0.0
naive_baseline,random,0.5,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,random,0.25,gaussian,7,0.11065849166332459,0.9680979846818571,0.9372137079450733,0.11182696347340959,0.0
blind,random,0.25,gaussian,7,0.10919512354970513,0.9680871530271188,0.9371927358561521,0.11071425056392648,0.35000000000000003
interpolation_baseline,random,0.25,gaussian,7,0.5739534706901142,0.9624626552124805,0.9263343626786582,0.06976663987404697,0.0
naive_baseline,random,0.25,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,random,0.1,gaussian,7,0.31708280710742676,0.6654901728109689,0.44287717010797323,0.07886426328178253,0.0
blind,random,0.1,gaussian,7,0.31716813629098695,0.6673501067901899,0.4453561650328779,0.07751907710402206,0.35000000000000003
interpolation_baseline,random,0.1,gaussian,7,0.6947463533459455,0.7362948661561329,0.5421301299278777,0.06954528518268555,0.0
naive_baseline,random,0.1,gaussian,7,1.0169513749294659,nan,nan,0.18791001917240546,0.0
oracle,uniform,1.0,gaussian,11,0.002089014939305312,0.9999828739309463,0.9999657481551949,0.00014835108147592813,0.0
blind,uniform,1.0,gaussian,11,0.039791562588699654,0.9999599366319311,0.9999198748689355,0.004551933932209762,0.3433333333333333
interpolation_baseline,uniform,1.0,gaussian,11,0.5260917482857761,0.9959870374536979,0.9919901787757938,0.057892247060488344,0.0
naive_baseline,uniform,1.0,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,uniform,0.75,gaussian,11,0.013222226601086554,0.9993107851614176,0.9986220453399289,0.07018408823938316,0.0
blind,uniform,0.75,gaussian,11,0.04080835265627967,0.9994316662683554,0.9988636555399414,0.06586732401654072,0.3433333333333333
interpolation_baseline,uniform,0.75,gaussian,11,0.5249254530588574,0.9958698518078748,0.9917567617398385,0.05994992129564136,0.0
naive_baseline,uniform,0.75,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,uniform,0.5,gaussian,11,0.020402793008691113,0.9983587714767849,0.9967202365846352,0.09111072851002011,0.0
blind,uniform,0.5,gaussian,11,0.0424212012543243,0.9987265870201424,0.997454795620902,0.08502147672071703,0.3433333333333333
interpolation_baseline,uniform,0.5,gaussian,11,0.5237551051860231,0.9957631122136659,0.9915441756454457,0.054286722192328773,0.0
naive_baseline,uniform,0.5,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,uniform,0.25,gaussian,11,0.04055970571409481,0.9937801209367725,0.9875989287691062,0.11173979204765194,0.0
blind,uniform,0.25,gaussian,11,0.050863709209011586,0.9943468356236896,0.9887256295148449,0.1114390632030906,0.3433333333333333
interpolation_baseline,uniform,0.25,gaussian,11,0.5159750207418169,0.9924508844749318,0.9849587580950744,0.09367471383638393,0.0
naive_baseline,uniform,0.25,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,uniform,0.1,gaussian,11,0.17805383947905004,0.8793275639898369,0.7732169647923007,0.11344789053144322,0.0
blind,uniform,0.1,gaussian,11,0.17165238373440825,0.8800250975002657,0.7744441722303521,0.10991609850503681,0.3433333333333333
interpolation_baseline,uniform,0.1,gaussian,11,0.46515366884491705,0.8826892008946654,0.779140225376063,0.08281872139307067,0.0
naive_baseline,uniform,0.1,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,window,1.0,gaussian,11,0.002089014939305312,0.9999828739309463,0.9999657481551949,0.00014835108147592813,0.0
blind,window,1.0,gaussian,11,0.039791562588699654,0.9999599366319311,0.9999198748689355,0.004551933932209762,0.3433333333333333
interpolation_baseline,window,1.0,gaussian,11,0.5260917482857761,0.9959870374536979,0.9919901787757938,0.057892247060488344,0.0
naive_baseline,window,1.0,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,window,0.75,gaussian,11,0.1756027756363107,0.9045726148606599,0.8182516155558517,0.08002179141360488,0.0
blind,window,0.75,gaussian,11,0.18674680802976862,0.9130982014037939,0.8337483254068434,0.0713801886183365,0.3433333333333333
interpolation_baseline,window,0.75,gaussian,11,0.5949716741932475,0.9474757518826905,0.8977103004056697,0.030916641645952536,0.0
naive_baseline,window,0.75,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,window,0.5,gaussian,11,0.5122531186888651,-0.0908197753972815,0.008248231603212659,0.09535960839056834,0.0
blind,window,0.5,gaussian,11,0.46139295972286903,-0.11678283799128093,0.013638231249297769,0.14172798655754915,0.029999999999999995
interpolation_baseline,window,0.5,gaussian,11,1.010550549170055,0.0860887490216005,0.007411272708104122,0.0347857844856817,0.0
naive_baseline,window,0.5,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,window,0.25,gaussian,11,0.37943215787755297,0.280816293242576,0.07885779055050043,0.13465395090504972,0.0
blind,window,0.25,gaussian,11,0.36989462899171105,0.19253373341537922,0.03706923850286431,0.13963960869318548,0.029999999999999995
interpolation_baseline,window,0.25,gaussian,11,0.7514893015417794,0.46893142997071785,0.21989668601438225,0.04400320403901947,0.0
naive_baseline,window,0.25,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,window,0.1,gaussian,11,0.6005981143710858,-0.07582639357741848,0.00574964196295757,0.16240388251572702,0.0
blind,window,0.1,gaussian,11,0.509146941328412,-0.10863823346285434,0.011802265769929644,0.16065232182983047,0.029999999999999995
interpolation_baseline,window,0.1,gaussian,11,1.221727479335204,0.1695295082433858,0.028740254165244217,0.07698568300245079,0.0
naive_baseline,window,0.1,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,random,1.0,gaussian,11,0.002089014939305312,0.9999828739309463,0.9999657481551949,0.00014835108147592813,0.0
blind,random,1.0,gaussian,11,0.039791562588699654,0.9999599366319311,0.9999198748689355,0.004551933932209762,0.3433333333333333
interpolation_baseline,random,1.0,gaussian,11,0.5260917482857761,0.9959870374536979,0.9919901787757938,0.057892247060488344,0.0
naive_baseline,random,1.0,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,random,0.75,gaussian,11,0.0116117297881688,0.9994717970177249,0.9989438730338404,0.06233273606803846,0.0
blind,random,0.75,gaussian,11,0.04044922812442875,0.9995725458539421,0.9991452744249311,0.05796957233379674,0.3433333333333333
interpolation_baseline,random,0.75,gaussian,11,0.5249786417439445,0.9960668118747136,0.992149093718256,0.045125960656760555,0.0
naive_baseline,random,0.75,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,random,0.5,gaussian,11,0.049561373011515024,0.9911797684262424,0.9824373333374996,0.0635045903393453,0.0
blind,random,0.5,gaussian,11,0.051864419357054777,0.9916153697391052,0.9833010415028224,0.06249921223427124,0.3433333333333333
interpolation_baseline,random,0.5,gaussian,11,0.5010001749868661,0.99021016631827,0.9805161734800558,0.0794493691691035,0.0
naive_baseline,random,0.5,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,random,0.25,gaussian,11,0.05812806063196015,0.9871250894755887,0.9744159422721891,0.07538384220282035,0.0
blind,random,0.25,gaussian,11,0.062494528946763245,0.9877653317957736,0.9756803506976148,0.07356368071572184,0.3433333333333333
interpolation_baseline,random,0.25,gaussian,11,0.5083287945165447,0.9873907144314139,0.974940422945378,0.07642253370275831,0.0
naive_baseline,random,0.25,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,random,0.1,gaussian,11,0.1960511297588736,0.8490706008128686,0.7209208851647256,0.07434473093051108,0.0
blind,random,0.1,gaussian,11,0.1951369514774992,0.8496493436568414,0.7219040071765014,0.07106543091138873,0.3433333333333333
interpolation_baseline,random,0.1,gaussian,11,0.5091939939683361,0.8492286877006341,0.7211893640137411,0.059507750883034616,0.0
naive_baseline,random,0.1,gaussian,11,0.7700551811623102,nan,nan,0.18565364609615875,0.0
oracle,uniform,1.0,sine,3,0.002267700221647602,0.9999999544472734,0.9999999088945489,0.04466498910844374,0.0
blind,uniform,1.0,sine,3,0.014640278645338546,0.9999953478919128,0.9999906958054677,0.11618223599386435,0.3566666666666667
interpolation_baseline,uniform,1.0,sine,3,0.23137198777081117,0.9991894017428969,0.9983794605553283,0.0038458463135054854,0.0
naive_baseline,uniform,1.0,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,uniform,0.75,sine,3,0.0031582061302104993,0.9999808933932696,0.9999617871516016,0.04506125825792473,0.0
blind,uniform,0.75,sine,3,0.015387868886706459,0.9999733387696953,0.9999466782502118,0.06745268317782005,0.3566666666666667
interpolation_baseline,uniform,0.75,sine,3,0.2305546510370347,0.9991988892361625,0.998398420250781,0.0670725144847042,0.0
naive_baseline,uniform,0.75,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,uniform,0.5,sine,3,0.004146337226654765,0.9999566881209658,0.9999133781178505,0.07357598464338622,0.0
blind,uniform,0.5,sine,3,0.016188794832086274,0.99994539946628,0.9998908019137783,0.03818057589717472,0.3566666666666667
interpolation_baseline,uniform,0.5,sine,3,0.22971670343369197,0.9992111291934376,0.9984228807040246,0.09163108673036024,0.0
naive_baseline,uniform,0.5,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,uniform,0.25,sine,3,0.00802820620877748,0.9998567805791906,0.9997135816701836,0.09242466063017774,0.0
blind,uniform,0.25,sine,3,0.021526206096059437,0.9998431139698545,0.9996862525529354,0.09252701691745702,0.3566666666666667
interpolation_baseline,uniform,0.25,sine,3,0.22230388016095629,0.9991949938183038,0.9983906356715602,0.12291562729094307,0.0
naive_baseline,uniform,0.25,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,uniform,0.1,sine,3,0.06070856257970354,0.9966699588990043,0.993351006971743,0.17321298769076976,0.0
blind,uniform,0.1,sine,3,0.034033572524388905,0.9969711250989501,0.9939514242810665,0.17124840165386057,0.6766666666666666
interpolation_baseline,uniform,0.1,sine,3,0.15329817518123473,0.9967497050992786,0.993509974615499,0.18093182009421604,0.0
naive_baseline,uniform,0.1,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,window,1.0,sine,3,0.002267700221647602,0.9999999544472734,0.9999999088945489,0.04466498910844374,0.0
blind,window,1.0,sine,3,0.014640278645338546,0.9999953478919128,0.9999906958054677,0.11618223599386435,0.3566666666666667
interpolation_baseline,window,1.0,sine,3,0.23137198777081117,0.9991894017428969,0.9983794605553283,0.0038458463135054854,0.0
naive_baseline,window,1.0,sine,3,0.4242640687119285,nan,nan,0.08570991287109664,0.0
oracle,window,0.75,sine,3,0.1553683329716767,0.945449278615516,0.8938743384345995,0.09532189270045976,0.0
blind,window,0.75,sine,3,0.15125498236453558,0.9431189570425073,0.8894733671329467,0.09503006394072433,0.3566666666666667
interpolation_baseline,window,0.75,sine,3,0.32547580650014896,0.9618014196088671,0.9250619707616321,0.14770200921948762,0.0
