final_cum_abs_dgv,final_recoverability,git_sha,monitor_alpha,monitor_beta,monitor_gamma,monitor_threshold,peak_abs_ds_dt,peak_s_total,ref_name,run_created_utc,run_id,run_number,scenario
0.10278778433240932,0.26792245592629516,e26d334289301d38e2cdefec5dbbc276d1532a46,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-10T21:58:42.555366+00:00,21883963086,81,human_ai_feedback_loop
0.8588087034662247,,b49bdb67defa9a2e712f3b17ae6954cd44af07d5,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-10T22:37:50.299593+00:00,21885115572,82,swarm_amplification
0.24410333432796094,,b49bdb67defa9a2e712f3b17ae6954cd44af07d5,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-10T22:37:50.299593+00:00,21885115572,82,adversarial_saturation
0.10278778433240932,0.26792245592629516,b49bdb67defa9a2e712f3b17ae6954cd44af07d5,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-10T22:37:50.299593+00:00,21885115572,82,human_ai_feedback_loop
0.8588087034662247,,f10fff255c2872caea281994c490fa6a20030bee,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-10T23:23:46.583454+00:00,21886301097,83,swarm_amplification
0.24410333432796094,,f10fff255c2872caea281994c490fa6a20030bee,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-10T23:23:46.583454+00:00,21886301097,83,adversarial_saturation
0.10278778433240932,0.26792245592629516,f10fff255c2872caea281994c490fa6a20030bee,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-10T23:23:46.583454+00:00,21886301097,83,human_ai_feedback_loop
0.8588087034662247,,81a5ae7a224ab9b45a2bb7b2eb3943a1490bc381,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-10T23:59:02.248459+00:00,21887144577,84,swarm_amplification
0.24410333432796094,,81a5ae7a224ab9b45a2bb7b2eb3943a1490bc381,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-10T23:59:02.248459+00:00,21887144577,84,adversarial_saturation
0.10278778433240932,0.26792245592629516,81a5ae7a224ab9b45a2bb7b2eb3943a1490bc381,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-10T23:59:02.248459+00:00,21887144577,84,human_ai_feedback_loop
0.8588087034662247,,7935c3ecfba3596854f26cbf484e75b1f0741a77,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-11T02:26:00.710918+00:00,21890374306,85,swarm_amplification
0.24410333432796094,,7935c3ecfba3596854f26cbf484e75b1f0741a77,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-11T02:26:00.710918+00:00,21890374306,85,adversarial_saturation
0.10278778433240932,0.26792245592629516,7935c3ecfba3596854f26cbf484e75b1f0741a77,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-11T02:26:00.710918+00:00,21890374306,85,human_ai_feedback_loop
